Year,PDO
1870,5.534849
1871,5.53878
1872,5.535824
1873,5.526567
1874,5.485793
1875,5.538157
1876,5.45719
1877,5.461989
1878,5.512318
1879,5.517995
1880,5.536764
1881,5.505421
1882,5.501478
1883,5.543811
1884,5.556443
1885,5.541788
1886,5.571557
1887,5.53361
1888,5.541369
1889,5.564485
1890,5.522187
1891,5.575795
1892,5.488571
1893,5.480262
1894,5.526232
1895,5.501816
1896,5.533763
1897,5.506182
1898,5.543916
1899,5.543092
1900,5.536071
1901,5.497753
1902,5.477563
1903,5.449522
1904,5.45903
1905,5.441587
1906,5.481759
1907,5.445479
1908,5.442428
1909,5.444379
1910,5.43917
1911,5.428409
1912,5.416317
1913,5.418591
1914,5.504309
1915,5.515309
1916,5.447098
1917,5.475615
1918,5.465281
1919,5.462995
1920,5.537004
1921,5.476222
1922,5.466812
1923,5.436409
1924,5.442945
1925,5.457359
1926,5.510527
1927,5.486631
1928,5.487259
1929,5.482704
1930,5.572788
1931,5.493494
1932,5.486028
1933,5.457763
1934,5.482709
1935,5.501445
1936,5.506442
1937,5.555684
1938,5.562629
1939,5.524381
1940,5.508395
1941,5.550281
1942,5.608068
1943,5.613323
1944,5.675488
1945,5.71804
1946,5.59607
1947,5.559631
1948,5.581187
1949,5.642367
1950,5.662686
1951,5.657943
1952,5.636463
1953,5.615449
1954,5.623417
1955,5.606036
1956,5.64393
1957,5.666894
1958,5.698071
1959,5.713539
1960,5.627244
1961,5.642114
1962,5.628563
1963,5.654937
1964,5.576915
1965,5.546678
1966,5.610191
1967,5.703243
1968,5.63951
1969,5.594171
1970,5.600895
1971,5.537352
1972,5.571372
1973,5.601013
1974,5.58126
1975,5.567648
1976,5.504199
1977,5.609394
1978,5.629173
1979,5.645729
1980,5.57517
1981,5.593704
1982,5.581085
1983,5.640014
1984,5.659242
1985,5.59543
1986,5.617217
1987,5.594921
1988,5.632119
1989,5.68049
1990,5.749061
1991,5.699625
1992,5.695059
1993,5.673524
1994,5.757289
1995,5.70952
1996,5.718009
1997,5.793856
1998,5.775302
1999,5.686154
2000,5.732027
2001,5.730461
2002,5.71935
2003,5.737258
2004,5.793471
2005,5.77791
2006,5.716411
2007,5.701653
2008,5.714661
2009,5.720957
2010,5.703252
2011,5.694176
2012,5.681105
2013,5.760178
2014,5.847858
2015,5.888216
2016,5.850448
2017,5.809386
2018,5.843601
2019,5.894711
