Year,NPGO
1870,6.56E-02
1871,7.84E-02
1872,0.1018052
1873,8.49E-02
1874,0.1293021
1875,8.45E-02
1876,5.62E-02
1877,-0.1473576
1878,-0.1003927
1879,5.45E-03
1880,9.03E-02
1881,-1.01E-02
1882,0.1108175
1883,2.19E-02
1884,-6.93E-02
1885,-0.2335719
1886,-4.95E-02
1887,2.10E-02
1888,-0.1718946
1889,-7.98E-02
1890,4.88E-02
1891,-6.61E-02
1892,3.17E-02
1893,0.1029676
1894,0.1759242
1895,-3.18E-02
1896,-7.24E-02
1897,-8.50E-02
1898,3.43E-02
1899,-1.83E-03
1900,-0.1435104
1901,-3.37E-02
1902,-0.1386918
1903,-4.15E-02
1904,-2.47E-02
1905,-0.1694874
1906,-5.89E-02
1907,2.24E-02
1908,1.83E-02
1909,0.1176543
1910,0.1485197
1911,7.26E-02
1912,2.67E-02
1913,4.53E-02
1914,3.87E-02
1915,-7.87E-02
1916,0.1002667
1917,5.37E-02
1918,-0.1074766
1919,-5.16E-02
1920,7.01E-02
1921,0.1023511
1922,5.84E-02
1923,-3.08E-02
1924,2.09E-02
1925,-1.43E-02
1926,-0.2038912
1927,-2.87E-02
1928,-1.91E-02
1929,-5.31E-02
1930,-5.57E-02
1931,-0.1757746
1932,7.25E-03
1933,0.1637341
1934,-0.1332396
1935,-7.62E-02
1936,-0.2319478
1937,-1.61E-02
1938,-9.08E-03
1939,-7.41E-03
1940,-0.2532893
1941,-0.3146019
1942,-0.114098
1943,-7.12E-03
1944,6.22E-02
1945,5.43E-02
1946,5.33E-02
1947,-8.80E-02
1948,7.12E-02
1949,0.2076487
1950,0.245172
1951,9.44E-02
1952,0.1501057
1953,7.24E-02
1954,1.89E-02
1955,0.2557507
1956,0.21039
1957,-6.65E-02
1958,-0.1572923
1959,-7.86E-02
1960,-1.47E-02
1961,4.52E-02
1962,0.1282158
1963,-2.15E-03
1964,0.1229803
1965,5.00E-03
1966,4.07E-02
1967,9.26E-02
1968,3.41E-03
1969,3.18E-02
1970,4.04E-02
1971,0.2068648
1972,0.1338859
1973,0.1384398
1974,4.64E-02
1975,0.1965124
1976,3.19E-02
1977,-5.70E-02
1978,-5.46E-02
1979,-5.57E-02
1980,-9.17E-02
1981,-0.1723216
1982,-1.50E-02
1983,-0.2109899
1984,-9.53E-02
1985,-3.78E-02
1986,-0.1871148
1987,-0.2034234
1988,-5.43E-03
1989,5.50E-02
1990,4.57E-02
1991,8.63E-02
1992,-0.1726099
1993,-0.1840757
1994,1.37E-02
1995,-8.43E-02
1996,-0.1246182
1997,-0.2180431
1998,-5.09E-02
1999,0.1942614
2000,0.1194125
2001,9.70E-02
2002,1.05E-02
2003,-7.53E-02
2004,-1.09E-02
2005,8.27E-04
2006,1.41E-02
2007,7.96E-02
2008,0.2018509
2009,9.03E-02
2010,0.1159007
2011,0.2308641
2012,0.1732022
2013,0.1046688
2014,-0.1148093
2015,-0.193688
2016,-0.1520445
2017,-1.73E-02
2018,4.86E-03
