"","x","y"
"164",868,0.803813792395311
"165",869,0.575892923711758
"166",870,0.966843661034167
"167",871,0.999764133845207
"168",872,1.60074642212825
"169",873,1.33021907611787
"170",874,1.07003590041472
"171",875,0.964846296453843
"172",876,0.856536023243364
"173",877,0.69015694025653
"174",878,0.894966168501853
"175",879,0.881122470337318
"176",880,0.638541615159082
"177",881,0.528157135961855
"178",882,0.574359039586817
"179",883,0.613893527723567
"180",884,0.739325684697781
"181",885,0.560539155086834
"182",886,0.423328013898688
"183",887,1.03586748672025
"184",888,0.802320055410905
"185",889,0.943469506530058
"186",890,0.81682424898128
"187",891,0.903756585789936
"188",892,0.79501075462728
"189",893,1.07290557037445
"190",894,1.32548136870551
"191",895,0.778397702920205
"192",896,0.715998226561842
"193",897,0.73432159972983
"194",898,1.37780201780641
"195",899,1.14195461535518
"196",900,1.17937626170675
"197",901,1.37922123090887
"198",902,0.959722939811895
"199",903,0.899957727269529
"200",904,1.09956790036488
"201",905,0.71534290701309
"202",906,0.933651046982671
"203",907,0.829288264963739
"204",908,0.699930981679822
"205",909,0.951701448941365
"206",910,1.08636081381587
"207",911,1.18573276480952
"208",912,1.49631600633633
"209",913,1.10159346071274
"210",914,1.02821462168362
"211",915,1.51049733135507
"212",916,1.21047579018253
"213",917,1.14769544297331
"214",918,1.42030250067094
"215",919,1.41162963309502
"216",920,1.52534850510179
"217",921,1.34268901075785
"218",922,0.978187272999067
"219",923,0.88907146922978
"220",924,0.807817962235684
"221",925,0.780818911476359
"222",926,0.979016124668128
"223",927,1.13218622591374
"224",928,0.986047598175396
"225",929,0.973151193093796
"226",930,0.983517497555688
"227",931,0.602600970481323
"228",932,0.696139009484025
"229",933,0.810638857405628
"230",934,0.745360453902181
"231",935,0.754761057922682
"232",936,1.04056363253893
"233",937,1.47174446871009
"234",938,1.56997846975162
"235",939,1.26283209541169
"236",940,1.03176612403296
"237",941,0.690590260914797
"238",942,1.05128540706549
"239",943,0.938428824584243
"240",944,0.52729801173704
"241",945,1.05872474405423
"242",946,0.893802407463731
"243",947,0.897792883816585
"244",948,1.00480390383805
"245",949,1.01396975088673
"246",950,0.686688782236385
"247",951,0.434294159642788
"248",952,0.74628368687774
"249",953,0.863685954835518
"250",954,0.623727796079709
"251",955,0.940219128603529
"252",956,1.30384735181654
"253",957,0.925673433861293
"254",958,0.786153274339303
"255",959,0.899633602301574
"256",960,0.753391902321422
"257",961,0.729969172977897
"258",962,0.568772620040358
"259",963,0.915567039755783
"260",964,0.910330950146031
"261",965,1.49248491783325
"262",966,1.13494020461824
"263",967,0.901533457977296
"264",968,0.547240528778742
"265",969,0.673822228473812
"266",970,0.670116205426318
"267",971,1.09614273122179
"268",972,0.679484656826292
"269",973,0.607311485075481
"270",974,0.62892857626459
"271",975,1.28931934390697
"272",976,1.37638580165324
"273",977,1.44574771601819
"274",978,1.22908084251999
"275",979,1.71073537230751
"276",980,1.38450209976512
"277",981,1.14856629626509
"278",982,0.90744682602425
"279",983,0.811588333790779
"280",984,0.660623043418013
"281",985,0.788093019130133
"282",986,1.39784298068898
"283",987,1.08318628142627
"284",988,1.15797830616674
"285",989,0.636885855051861
"286",990,0.71988187393944
"525",991,NA
"526",992,NA
"527",993,NA
"528",994,NA
"529",995,NA
"530",996,NA
"531",997,NA
"532",998,NA
"533",999,NA
"534",1000,NA
"535",1001,NA
"536",1002,NA
"537",1003,NA
"538",1004,NA
"539",1005,NA
"540",1006,NA
"541",1007,NA
"542",1008,NA
"543",1009,NA
"544",1010,NA
"545",1011,NA
"546",1012,NA
"547",1013,NA
"548",1014,NA
"549",1015,NA
"550",1016,NA
"551",1017,NA
"552",1018,NA
"553",1019,NA
"554",1020,NA
"555",1021,NA
"556",1022,NA
"557",1023,NA
"558",1024,NA
"559",1025,NA
"560",1026,NA
"561",1027,NA
"562",1028,NA
"563",1029,NA
"564",1030,NA
"565",1031,NA
"566",1032,NA
"567",1033,NA
"568",1034,NA
"569",1035,NA
"570",1036,NA
"571",1037,NA
"572",1038,NA
"573",1039,NA
"574",1040,NA
"575",1041,NA
"576",1042,NA
"577",1043,NA
"578",1044,NA
"579",1045,NA
"580",1046,NA
"581",1047,NA
"582",1048,NA
"583",1049,NA
"584",1050,NA
"585",1051,NA
"586",1052,NA
"587",1053,NA
"588",1054,NA
"589",1055,NA
"590",1056,NA
"591",1057,NA
"592",1058,NA
"593",1059,NA
"594",1060,NA
"595",1061,NA
"596",1062,NA
"597",1063,NA
"598",1064,NA
"599",1065,NA
"600",1066,NA
"601",1067,NA
"602",1068,NA
"603",1069,NA
"604",1070,NA
"605",1071,NA
"606",1072,NA
"607",1073,NA
"608",1074,NA
"609",1075,NA
"610",1076,NA
"611",1077,NA
"612",1078,NA
"613",1079,NA
"614",1080,NA
"615",1081,NA
"616",1082,NA
"617",1083,NA
"618",1084,NA
"619",1085,NA
"620",1086,NA
"621",1087,NA
"622",1088,NA
"623",1089,NA
"624",1090,NA
"625",1091,NA
"626",1092,NA
"627",1093,NA
"628",1094,NA
"629",1095,NA
"630",1096,NA
"631",1097,NA
"632",1098,NA
"633",1099,NA
"634",1100,NA
"635",1101,NA
"636",1102,NA
"637",1103,NA
"638",1104,NA
"639",1105,NA
"640",1106,NA
"641",1107,NA
"642",1108,NA
"643",1109,NA
"644",1110,NA
"645",1111,NA
"646",1112,NA
"647",1113,NA
"648",1114,NA
"649",1115,NA
"650",1116,NA
"651",1117,NA
"652",1118,NA
"653",1119,NA
"654",1120,NA
"655",1121,NA
"656",1122,NA
"657",1123,NA
"658",1124,NA
"659",1125,NA
"1",1126,1.13312762194268
"2",1127,0.90737888090458
"3",1128,0.882006460841128
"4",1129,1.048522276721
"5",1130,1.20274231604827
"6",1131,1.18189055623894
"7",1132,0.941068215304117
"8",1133,0.719185312822529
"9",1134,0.955875923672182
"10",1135,1.11234465666272
"11",1136,1.26262159490972
"12",1137,1.12368658594834
"13",1138,1.00771504129029
"14",1139,0.840833563280283
"15",1140,0.855974726962192
"16",1141,0.913927095680652
"17",1142,0.940282294418079
"18",1143,0.694714070687091
"19",1144,1.09332738058406
"20",1145,1.22734292212397
"21",1146,0.494544350425797
"22",1147,0.387304838927776
"23",1148,0.765067710821536
"24",1149,0.77040741102562
"25",1150,0.507405811887617
"26",1151,0.691993199274963
"27",1152,0.923072995627247
"28",1153,0.977854102987258
"29",1154,1.07889388519364
"30",1155,0.931073226189658
"31",1156,0.926416473475179
"32",1157,0.795600173688773
"33",1158,0.589742756917457
"34",1159,1.4013526813751
"35",1160,1.44182711151284
"36",1161,1.54985542291518
"37",1162,1.38855113463169
"38",1163,0.993669486163045
"39",1164,1.1467119870726
"40",1165,1.37532094527902
"41",1166,1.58808506828302
"42",1167,1.52257001848311
"43",1168,0.983859650965728
"44",1169,0.880327188429387
"45",1170,1.10201283843242
"46",1171,0.706983487329374
"47",1172,0.810062974787914
"48",1173,0.707751248006454
"49",1174,0.569878229976705
"50",1175,0.951225196467504
"51",1176,1.00923743295566
"52",1177,1.09348793523479
"53",1178,1.2616455612511
"54",1179,1.04987156348752
"55",1180,0.503951609717741
"56",1181,0.352199585999321
"57",1182,1.28827197137447
"58",1183,1.28685509880515
"59",1184,0.745667601798333
