Year,coral
1650,-0.018
1651,-0.012
1652,-0.001
1653,0.011
1654,0.02
1655,0.029
1656,0.035
1657,0.034
1658,0.02
1659,0.001
1660,-0.004
1661,0.016
1662,0.05
1663,0.083
1664,0.101
1665,0.098
1666,0.076
1667,0.036
1668,-0.02
1669,-0.077
1670,-0.115
1671,-0.117
1672,-0.088
1673,-0.046
1674,-0.003
1675,0.032
1676,0.054
1677,0.056
1678,0.037
1679,0.001
1680,-0.036
1681,-0.063
1682,-0.073
1683,-0.071
1684,-0.063
1685,-0.046
1686,-0.023
1687,0
1688,0.016
1689,0.021
1690,0.02
1691,0.017
1692,0.017
1693,0.014
1694,0.007
1695,0.001
1696,-0.001
1697,0.003
1698,0.006
1699,0.004
1700,-0.001
1701,-0.001
1702,0.005
1703,0.011
1704,0.007
1705,-0.005
1706,-0.011
1707,-0.003
1708,0.016
1709,0.042
1710,0.069
1711,0.092
1712,0.096
1713,0.071
1714,0.014
1715,-0.053
1716,-0.1
1717,-0.108
1718,-0.081
1719,-0.035
1720,0.018
1721,0.068
1722,0.098
1723,0.092
1724,0.048
1725,-0.016
1726,-0.067
1727,-0.091
1728,-0.092
1729,-0.074
1730,-0.035
1731,0.001
1732,0.025
1733,0.039
1734,0.037
1735,0.013
1736,-0.025
1737,-0.058
1738,-0.069
1739,-0.058
1740,-0.037
1741,-0.017
1742,0
1743,0.015
1744,0.022
1745,0.015
1746,-0.001
1747,-0.011
1748,-0.006
1749,0.007
1750,0.014
1751,0.011
1752,0.005
1753,0.004
1754,0.007
1755,0.012
1756,0.022
1757,0.042
1758,0.066
1759,0.075
1760,0.06
1761,0.028
1762,-0.006
1763,-0.03
1764,-0.039
1765,-0.031
1766,-0.007
1767,0.028
1768,0.061
1769,0.073
1770,0.058
1771,0.02
1772,-0.026
1773,-0.066
1774,-0.088
1775,-0.088
1776,-0.065
1777,-0.027
1778,0.013
1779,0.037
1780,0.041
1781,0.048
1782,0.025
1783,-0.003
1784,-0.026
1785,-0.032
1786,-0.018
1787,0.007
1788,0.032
1789,0.049
1790,0.056
1791,0.05
1792,0.027
1793,-0.005
1794,-0.037
1795,-0.057
1796,-0.057
1797,-0.039
1798,-0.01
1799,0.021
1800,0.047
1801,0.061
1802,0.059
1803,0.035
1804,-0.003
1805,-0.039
1806,-0.054
1807,-0.043
1808,-0.01
1809,0.028
1810,0.057
1811,0.067
1812,0.059
1813,0.039
1814,0.015
1815,-0.011
1816,-0.033
1817,-0.046
1818,-0.043
1819,-0.028
1820,-0.008
1821,0.004
1822,0.002
1823,-0.012
1824,-0.035
1825,-0.06
1826,-0.086
1827,-0.103
1828,-0.107
1829,-0.092
1830,-0.062
1831,-0.019
1832,0.022
1833,0.051
1834,0.06
1835,0.052
1836,0.034
1837,0.017
1838,0.007
1839,0.008
1840,0.016
1841,0.03
1842,0.046
1843,0.058
1844,0.056
1845,0.035
1846,0.008
1847,-0.013
1848,-0.02
1849,-0.014
1850,0
1851,0.016
1852,0.031
1853,0.038
1854,0.035
1855,0.021
1856,-0.002
1857,-0.028
1858,-0.051
1859,-0.066
1860,-0.065
1861,-0.046
1862,-0.015
1863,0.016
1864,0.038
1865,0.047
1866,0.042
1867,0.023
1868,-0.004
1869,-0.029
1870,-0.041
1871,-0.031
1872,-0.005
1873,0.028
1874,0.058
1875,0.079
1876,0.085
1877,0.069
1878,0.032
1879,-0.011
1880,-0.041
1881,-0.049
1882,-0.036
1883,-0.011
1884,0.018
1885,0.037
1886,0.038
1887,0.018
1888,-0.013
1889,-0.048
1890,-0.075
1891,-0.087
1892,-0.079
1893,-0.056
1894,-0.023
1895,0.005
1896,0.017
1897,0.01
1898,-0.002
1899,-0.002
1900,0.014
1901,0.039
1902,0.061
1903,0.078
1904,0.084
1905,0.075
1906,0.049
1907,0.015
1908,-0.012
1909,-0.018
1910,-0.005
1911,0.019
1912,0.039
1913,0.043
1914,0.024
1915,-0.013
1916,-0.055
1917,-0.083
1918,-0.084
1919,-0.065
1920,-0.041
1921,-0.023
1922,-0.011
1923,-0.003
1924,-0.002
1925,-0.011
1926,-0.02
1927,-0.02
1928,0.001
1929,0.031
1930,0.051
1931,0.044
1932,0.022
1933,-0.002
1934,-0.018
1935,-0.025
1936,-0.017
1937,0.003
1938,0.032
1939,0.06
1940,0.076
1941,0.07
1942,0.045
1943,0.013
1944,-0.014
1945,-0.029
1946,-0.031
1947,-0.021
1948,-0.012
1949,-0.006
1950,-0.007
1951,-0.009
1952,-0.013
1953,-0.021
1954,-0.033
1955,-0.042
1956,-0.04
1957,-0.027
1958,-0.015
1959,-0.014
1960,-0.021
1961,-0.023
1962,-0.016
1963,-0.003
1964,0.013
1965,0.028
1966,0.035
1967,0.03
1968,0.013
1969,-0.01
1970,-0.032
1971,-0.044
1972,-0.043
1973,-0.033
1974,-0.019
1975,0.001
1976,0.021
1977,0.031
1978,0.024
1979,0.008
1980,-0.001
1981,0.004
1982,0.017
1983,0.028
1984,0.031
1985,0.031
1986,0.027
1987,0.014
1988,-0.01
1989,-0.029
1990,-0.031
1991,-0.016
1992,0.003
1993,0.015
1994,0.017
1995,0.012
1996,0.006
1997,0.004
1998,-0.021
1999,-0.05
2000,-0.066
2001,-0.065
2002,-0.075
2003,-0.076
2004,-0.068
